driverId,week,hours-logged,miles-logged
794,30,53,3300
248,28,65,2400
11,35,68,2400
41,49,63,3700
567,8,74,3300
92,12,69,1800
200,46,78,1400
219,22,51,1500
269,30,79,3900
578,32,57,2500
915,37,68,0
899,44,73,2500
458,5,78,1800
493,23,76,3000
634,21,63,1900
170,15,76,600
345,24,54,1000
56,3,61,1300
328,16,74,800
57,12,52,600
835,3,67,2000
312,3,62,400
680,38,63,2600
191,13,66,1000
898,30,63,1000
735,11,80,400
754,31,69,1900
410,11,64,3100
101,32,56,1500
390,8,63,2100
564,6,56,1100
602,30,67,3300
367,51,73,200
604,50,65,2500
21,47,57,700
621,18,77,3600
607,35,66,500
693,9,54,2300
832,41,57,1700
953,4,69,1400
914,46,60,900
512,31,67,1000
629,51,50,2500
907,18,60,1200
388,6,79,1300
120,39,58,3200
455,28,59,700
135,52,78,3900
699,36,75,2600
94,35,71,300
250,26,80,2000
897,25,54,3400
312,47,72,3800
504,24,71,2000
1008,34,60,1000
306,10,74,2500
390,2,64,3800
89,9,56,3800
185,15,60,1300
33,51,78,2200
674,2,79,3400
23,44,70,800
72,46,68,3400
778,2,53,1500
504,9,77,3600
711,14,67,1200
765,28,72,2000
18,30,62,1700
701,49,53,0
629,2,50,2800
63,36,67,500
884,32,74,0
41,49,76,3500
640,25,71,3400
354,30,60,3300
686,26,69,700
475,24,76,3500
641,52,66,3800
375,10,66,3200
484,21,52,3800
697,34,63,3800
213,21,55,800
149,51,65,1900
994,47,79,800
913,22,72,3600
498,43,62,3300
388,14,69,800
523,45,73,2300
135,48,61,1500
454,23,60,3800
938,45,61,600
689,45,60,0
474,19,56,4000
738,51,58,900
921,30,79,2600
352,34,54,500
952,30,53,3700
443,11,73,1200
739,2,72,3100
995,42,73,3900
648,28,78,1300
618,12,67,1600
510,10,50,3000
479,49,53,3700
520,34,61,3000
205,49,75,0
478,35,73,100
646,14,73,2900
694,12,59,1400
898,22,54,3900
348,38,50,800
285,21,60,1900
972,45,56,3100
22,49,52,1400
192,34,76,2800
217,28,59,3200
168,28,66,3500
